id,case_name,related_case,year,maj_opinion,maj_joined,dissent_opinion,dissent_joined,importance,facts,issues,arguments,ruling,discussion,concur_opinion,concur_joined,concur2_opinion,concur2_joined,concur3_opinion,concur3_joined,dissent2_opinion,dissent2_joined,dissent3_opinion,dissent3_joined,justices_np,topic,sub_topic,law_class,law_classes
131,Gomillion v. Lightfoot,,1946,81,"79,94,90,82,93,96,95",,,"* Helped lead to Baker v. Carr, which effectively overturned the decision in Colegrove.","* Alabama legislature re-drew boundaries of Tuskegee, with a really weird shape. Effect of the district was to exclude all blacks from the limits of Tuskegee.","* Did the redrawing of the district boundaries violate the 15th, which prevents a state from denying a citizen the right to vote on account of race?",,"* Yes. States are insulated from judicial review when they act ""wholly within the domain of state interest"", but there was no argument for the municipal function being served by the redrawing.
* The shape was clearly meant to deprive blacks of political power.","* This was a municipal case, which added the crucial 15th Amendment claim (based on the exclusionary dimension inherent in drawing people outside of a city’s jurisdiction, which didn’t exist in Colegrove)
* This was also different than Colegrove in that it was challenging a recent reapportionment, rather than a decades-old district drawing which had over time become unequal. This made it much easier to find the invidious race-based discrimination, which is always an easier argument to make to a bunch of old white guys",,,,,,,,,,,,"Landmark Cases,Voting Rights","Equal Protection,District Apportionment,Fifteenth Amendment",Law and Society,Law and Society
130,Colegrove v. Green,132,1946,81,"88,80",79,"82,83","* It was basically impossible for federal litigation to be heard on apportionment issues (at least until Gomillion, 14 years later, which finally took 15th Amendment approach)",* (essentially the same as Baker) - has to do with apportionment: the drawing of district lines. State Legislatures draw districts. Post WWII - mass migration to the suburbs.,"* Did the Illinois congressional districts unconstitutionally violate principles of fair apportionment?
* This case was brought under the Guaranty Clause, which explains why it failed (guarantee makes it a political question, it should’ve been brought under equal protection)",,"* Districts are constitutional. Frankfurter frames argument as judicial restraint (‘*the plaintiffs would have this court do the job of the IL legislature for them’* kind of stuff). This is the importance of avoiding the Political Question doctrinal issues.
* The court shouldn’t be involved in deciding the political question.

* This case was brought under the Guarantee Clause, which explains why it failed (guarantee makes it a political question, it should’ve been brought under equal protection).
* Court decides: the court shouldn’t be involved in deciding the political question. (question was under the guarantee clause)","* My notes from Harrington say ""Frankfurter is an asshole"" so just be mad when you cite this and she’ll like it. I think this unanimous opinion makes a great deal of sense, actually, at least given the way the plaintiffs framed the claim… but maybe it’s just late and I’m not reading straight",9,,,,,,,,,,55,Landmark Cases,"Fourteenth Amendment,District Apportionment,Guaranty Clause,Voting Rights",Law and Society,"Law and Society,American Constitution"
129,Brown v. Board of Education,,1954,92,"79,88,90,82,81,55,91,80",,,* Welcome to civil rights litigation,"* African American minors had been denied admittance to public schools based on race segregation laws.
* Originally, plaintiffs were denied relief based on the Plessy v. Ferguson ""separate but equal"" doctrine",* Does segregation of public education based solely on race violate the Equal Protection Clause of the 14th?,,"* Yes. ""Separate but equal"" facilities are inherently unequal, therefore violating Equal Protection.
* Segregation based on race instilled a sense of inferiority that had a strong negative effect on education and psychological growth of African American children.
* Brandeis (for plaintiffs) successfully used psychological studies for the first time to show effects of segregation on children (the doll study, etc.)",,,,,,,,,,,,,Landmark Cases,"Equal Protection,Separate, but Equal",Law and Society,Law and Society
128,Korematsu v. U.S.,,1944,79,"82,81,80,9,75",77,"55,83","* **The big takeaway: In times of war, the court tends to be very deferential to the government’s actions. (kinda because of the countermajoritarian worry about legitimacy in the face of public opinion)**",* Executive Order from Roosevelt (based on advice from military generals) allowing for internment of Japanese Americans on the west coast. Korematsu was a Japanese American who resisted the order.,"* Does the Executive Order go beyond the war powers of the President and congress by implementing exclusion and restricting the rights of Americans of Japanese descent?
    * When race is used in an invidious way, it is treated as a suspect classification, which triggers top-tier scrutiny, where the state is held to showing a compelling state interest.",,"* The government was held to strict scrutiny, and they were shown to have fulfilled the requirement for showing a compelling state interest",* Conclusion: The concern of national security exercises a lot of gravitational pull of how constitutional rights are interpreted.,,,,,,,,,,,,"Landmark Cases,War Powers/Foreign Affairs","Equal Protection,Executive War Powers,Domestic Affairs",Law and Society,"Law and Society,American Constitution"
127,Plessy v. Ferguson,,1896,53,"39,51,48,57,54,97",45,,"* Oh sorry, what’s that? It turns out that even the liberal dudes from the Northeast fundamentally misunderstand the nature of institutional racism, and fuck over blacks by claiming colorblindness?
* YOU DON’T SAY. GOOD THING EVERYTHING’S SO MUCH BETTER NOW.
* Legitimized racial segregation nationwide.","* Louisiana enacted a law requiring separate railway cars for blacks and whites.
* Plessy (who was 1/8th African American) was sold a ticket, he sat in the whites only car, refused to move, and was arrested.",* Is Louisiana’s racial segregation of its train cars a violation of (a) the Privileges and Immunities Clause and (b) the Equal Protection Clause of the 14th Amendment?,,"* No. Justice Brown concedes that the 14th Amendment intended to establish absolute equality for the races before the law, but ""could not have been intended to abolish distinctions based upon color, or to enforce social, as distinguished from political equality"".
* ""We consider the underlying fallacy of the plaintiff’s argument to consist in the assumption that the enforced separation of the two races stamps the colored race with a badge of inferiority. If this be so, it is not by reason of anything found in the act, but because the colored race chooses to put that construction upon it.""
* Like, Jesus Christ...
Dissent:
* Harlan comes through. Kinda. He predicts how terrible this will be for black Americans, specifically in the South. He’s from Kentucky, and he points out that one race in America has deemed itself superior in a bunch of different ways, but that the constitution (which *is* colorblind, he says) puts blacks and whites on equal footing, and ""it is therefore to be regretted that this high tribunal… has reached the conclusion that it is competent for a state to regulate the enjoyment of citizens of their civil rights solely upon the basis of race.""
* But you know, he also was a white supremacist and stuff and was ok with that continuing outside of the court",,,,,,,,,,,,,Landmark Cases,"Equal Protection,Separate, but Equal",Law and Society,Law and Society
126,Heckler v. Chaney,,1985,104,"102,94,101,100,106,103,105,97",,,,"* Inmates convicted of capital offenses and sentenced to death by lethal injection petitioned FDA alleging that use of drugs for these purposes violated the Food, Drug, and Cosmetic Act.
* Requested the FDA to enforce the act so as to prevent the lethal injection. FDA refused the request, and inmates sued.",* Are FDA decisions not to exercise enforcement authority over the use of drugs precluded from judicial review by s701 APA,,"* Yes, they are presumptively unreviewable. Refusals of agencies to enforce rules involve balancing tests of agency resources, which are not subject to review.","* FDCA’s prohibition on ""misbranding"" of drugs and introduction of “new drugs” absent agency approval, does not supply relevant guidelines. Neither does the “policy statement” indicating that the agency considered itself “obligated” to take certain investigative actions nor the FDCA’s provision that the Secretary need not report for prosecution minor violations of the Act supply relevant guidelines.",,,,,,,,,,,82,Judicial Review,Access to Judicial Review,Politics of Administrative Law,Politics of Administrative Law
125,Citizens to Preserve Overton Park v. Volpe,,1971,,,,,,"* Department of Transportation planned to build interstate (which would split the park in two) through Overton Park, and had acquired right-of-way and approval of officials.
* Secretary of DOT as authorized to approve the routing of interstates through parks if no ""feasible and prudent"" alternative route existed. He approved construction without publicly discussing alternative routes, and the citizens brought suit. District Court rules for Secretary.","1. Are petitioners entitled to Judicial Review?
2. Was the secretary authorized to approve construction without showing the action to be supported by ""substantial evidence""?",,"1. Yes. APA 701 allows any gov’t action to be reviewed, unless statutorily exempted, and Congress is not found to have intended to prohibit review.
2. No. There must be an administrative record available to the court to review when inquiring into an Agency’s action.","* The insistence that an agency produce a record sufficient for courts to review had a powerful practical result, as it stopped the construction of the interstate.
* However, this requirement would soon be rolled back with the Chevron deference stuff.",,,,,,,,,,,,Judicial Review,Scope of Judicial Review,Politics of Administrative Law,Politics of Administrative Law
124,Clapper v. Amnesty International USA,,2013,115,"109,114,108,111",113,"112,117,116",* Demonstrates the trend toward narrowing the scope of standing.,"* In 2008, Congress amends FISA 78 to remove requirement for probable cause in seeking authorization from FISC to target communications of non-US persons.
* Plaintiffs argued 4th and 1st amendment claims, Article III claims, and separation of powers principles, seeking permanent injunction against the FISA Amendments.",* Whether risk of future harm is an injury sufficient to show standing in court?,,"* No. Respondents have no standing to sue under Article III because no injury occurred.
* The ""reasonable likelihood"" standard employed by the lower court is not enough to show future injury for standing purposes.
Dissent:
* Breyer: future harm to respondents is not speculative and therefore should be sufficient to establish standing. Probability standard is useful in this case.",* Secret courts are A-OK. Whoop whoop.,,,,,,,,,,,,Judicial Review,"Administrative Procedure,Access to Judicial Review",Politics of Administrative Law,Politics of Administrative Law
123,Abbott Laboratories v. Gardner,,1967,93,"79,90,82,99,96,92,97",94,,"* Established access to review for pre-enforcement regulations, unless the congress is found to have intended to forbid review of such regulations","* Manufacturers of drugs to print ""established"" name of the drug along the manufacturer’s own brand name on drug labels.
* Commissioner of the FDA required manufacturers to print name alongside brand name every time the brand name appeared instead of just once on each material.
* Before FDA made any effort to enforce the regulation, Abbott sought for regulation to be voided for exceeding statutory authority granted to the FDA.",* Did Congress authorize review of the Commissioner’s authority to require Abbott to print the name of a drug every time its proprietary name is used?,,"* Yes. Whenever the legal issue is fit for review and the regulation has an immediate impact on plaintiff’s conduct with potential penalties, review of the regulation is permitted.
* Actually, congress had added additional provisions for additional remedies, not fewer.",,,,,,,,,,,,,Judicial Review,"Administrative Procedure,Access to Judicial Review",Politics of Administrative Law,Politics of Administrative Law
122,Motor Vehicle Manufacturers Association v. State Farm,,1983,97,"102,94,100,105",101,"106,103,104",* Employs the arbitrary and capricious test,"* National Highway Traffic Safety Act of 1966 directs the Secretary of Transportation to issue motor vehicle safety standards.
* They gave notice of a new rule requiring vehicles produced after 1982 to have seatbelts. In 1981 they rescinded the rule, and insurance companies petitioned for review of the rescinding order.
* The Act also authorizes judicial review to determine whether the agency acted arbitrarily (""based on random choice or personal whim, rather than any reason or system"") and capriciously (“given to sudden and unaccountable changes of mood or behavior”)","* In rescinding the order without providing reasons for doing so, did the agency act arbitrarily or capriciously, violating procedural rulemaking requirements?",,"* While the agency is entitled to change its view on the acceptability of continuous passive belts, it is obligated to explain its reasons for doing so. Not giving reasons for doing so is a procedural error, which","* **Arbitrary and Capricious is the standard with which to judge claims of abuse of discretion in informal rulemaking procedures. Not providing evidence for a rescinding order is grounds for review.**
* This did not overrule *Chevron*, but it shows a very different judicial philosophy. Under *State Farm*, using *Chevron* logic, the claim from Motor Vehicle Manufacturers that the rescinding order simply reflected a shift in interpreting the NHTSA 1966, specifically in directing the agency to interpret the practicability of safety standards. This was one year before *Chevron*, when they would be much more amenable to accepting the Agency’s interpretation of congressional legislative mandates to regulate safety without evidence or reasons.",101,"106,103,104",,,,,,,,,,Ambiguities in Rulemaking,"Administrative Procedure,Administrative Rulemaking,Ambiguity in Rulemaking",Politics of Administrative Law,Politics of Administrative Law
121,NRDC v. Vermont Yankee Nuclear Power Corp.,,1978,120,"122,123",,,* **Hybrid Rule Making:** requiring agencies to develop an evidentiary basis for a decision that’s less formal than full trial and more substantial than traditional notice and comment,"* Vermont Yankee sought an operating license, with no plan for disposal of waste. Relying on vague promises by scientists to find a solution, the NRC wrote a rule saying it would not prevent the issuance of licenses. NRDC seeks to discover full range of evidence.
* Proceedings by informal rulemaking, and not adjudication","* Did the decision to preclude ""discovery or cross-examination"" deny plaintiffs the opportunity to meaningfully participate in the proceedings as guaranteed by due process?",,"* Yes. NEPA mandates only a ""careful and informed decisionmaking process"" to enlighten the decisionmaker and public. That requires the Commission to identify opposition information, and articulate its reasoning with evidence.","* Potential of hybrid rulemaking was very attractive to the Public Interest Law movement, as counter-capture",,,,,,,,,,,,Ambiguities in Rulemaking,"Administrative Procedure,Ambiguity in Rulemaking",Politics of Administrative Law,Politics of Administrative Law
120,Vermont Yankee Nuclear Power Corp. v. NRDC,,1976,104,"94,101,100,105,96,97",,,,* Same as in NRDC v. Vermont.,"* Did the Appeals court err in applying and interpreting the meaning of ""careful and informed decisionmaking process"" by requiring the additional protections above?",,"* Reversed. Yes. Absent constitutional constraints or extremely compelling circumstances, admin agencies should be free to fashion their own rules of procedure. Rejecting argument that s553 APA merely establishes lower procedural bounds and that a court may require more than that minimum when an agency’s rule has great public import.","* This opinion dramatically narrows the ability of courts to supplement 553 with due process requirements.
* It still maintains the distinction between legislative and adjudicative rulemaking",,,,,,,,,,,"102,103",Ambiguities in Rulemaking,"Administrative Procedure,Ambiguity in Rulemaking",Politics of Administrative Law,Politics of Administrative Law
119,Ventura v. Shalala,,1995,124,"126,125",,,* Explains the limits and relevance of claims that an Administrative Law Judge (ALJ) is not impartial,"* Ventura applied for disability benefits, requesting a hearing before an ALJ
* ALJ found claimant able to work, but the Appeals Council vacated the decision because ALJ had sought testimony from a medical expert without the claimant present.
* ALJ had been clearly intentionally abusive to the claimant during rehearing. Transcript included in opinion.
* Remanded for another trial by same ALJ, rejected again. Claimant seeks summary judgment appeal.",* Did the claimant receive a full and fair hearing because of the ALJ’s bias or prejudice?,,"* No. Because of the ALJ’s offensive and unprofessional conduct, claimant in the instant case did not receive the full and fair hearing to which he was entitled. Claimant is entitled to another hearing by another ALJ.","* Included because unfortunately, this happens much more often than we think. Most of the time, the bias is not so easily identified, and that’s just a systemic, unfixable flaw, pretty much",,,,,,,,,,,,Elements of a Formal Hearing,Elements of an Administrative Hearing,Politics of Administrative Law,Politics of Administrative Law
118,Walters v. National Association of Radiation Survivors,,1985,104,"102,101,106,103,97",105,"94,100","* Illustrates how the Supreme Court has responded to the issues of access to litigation and litigation resources, such as attorneys’ fee reimbursement, in admin law.","* Statute imposed a $10 cap on Veterans paying counsel, and plaintiffs claimed this denied them any ""realistic opportunity"" to obtain legal representation, therefore violating the Due Process Clause of the Fifth Amendment and Freedom of Speech Clause of the 1st.","* Does the fee limitation deprive the plaintiffs of liberty without due process, or violate their freedom of speech by not allowing ""meaningful access to the court""?",,"* Reversed (fee limitation upheld) Due process is a flexible concept. Processes required by the constitution depends on the importance attached to the interest and the particular circumstances under which the deprivation may occur.
* Marginal gains from affording an additional procedural safeguard often may be outweighed by the societal cost of providing that safeguard.
* The balancing is justified by the practically equal success rates among Vets with and without representation.
* ""We think the District Court’s analysis of this issue totally unconvincing, and quite lacking in the deference which ought to be shown by a federal court in evaluating the constitutionality of an Act of Congress.
* First Amendment claims are ultimately tied to failing
Dissent:
* DAMN, STEVENS SMACKS THE LIBERTY OUT OF THE MAJORITY RIGHT OUT THE GATE IN HIS OPINION: ""The Court does not appreciate the value of individual liberty.""
* The law was intended to protect Veterans from lawyers who charged excessive fees, but instead, it’s being used to deny them access to all lawyers who charge reasonable rates.
* The bureaucratic interest in minimizing cost of administration is nothing but a red herring.
* AND THEN AGAIN RIGHT AT THE END SWEET JESUS THIS SHIT’S HOT:
* ""Unfortunately, the reason for the court’s mistake today is all too obvious. It does not appreciate the value of individual liberty. I respectfully dissent."" Ouch ouch ouch ouch",,,,,,,,,,,,,Elements of a Formal Hearing,Elements of an Administrative Hearing,Politics of Administrative Law,Politics of Administrative Law
117,Marathon Oil v. Environmental Protection Agency,,1977,127,"128,129",128,,"* ""Gives us a good idea when the APA’s formal adjudication requirements come into the picture.""","* Marathon Oil claimed that an EPA regulation was defective since it resulted from a hearing in which rulemaking standards were used.
* They claimed that the adverse impact it suffered, with the disputable nature of facts justifying the rule, made the hearing adjudicatory, and therefore called for fuller protections than those available in a rulemaking setting.",* Did the EPA violate principles of procedural due process by imposing rulemaking protections when the hearing was adjudicatory (requiring more protections) in nature?,,"* Yes. Ruled in favor of Marathon Oil.
* ""The crucial question is not whether particular talismanic language was used but whether the proceedings under review fall within that category of quasi-judicial proceedings deserving of special procedural protections."" And, yes, they do, in this case.","* Courts have used three approaches to interpreting whether an ambiguous statute requires formal adjudication (if it’s unambiguously required, then it’s unambiguously required):
1. If statute is ambiguous, there should be formal adjudication
2. If statute is ambiguous, there’s no need for formality
3. If there is ambiguity, *Chevron* deference should apply if the agency provides a reasonable interpretation of the statute (**this is the approach that courts have recently been taking**).
* OK. At this point, I want to address something that’s been pissing me off in class. It seems to me that for some reason, people in my class have grossly expanded the meaning of **""****_Chevron_**** deference""** to mean something closer to “when the court makes a decision that ends up going along with what the Agency wants.” **But this is way too broad of a definition, and Harrington won’t be impressed with your incorrect word choice.** Chevron* Deference, for example, would not adequately describe cases in which the court rules in favor of an agency, only by requiring lower procedural standards than what the claimant asked for. **_Chevron_**** Deference**** ONLY take place in cases where fundamental question at hand concerns ****the agency’s interpretation of a statute****.**
* For example, in *Chevron*, the ""deference"" that was being applied to the agency had to do with the agency’s interpretation of a regulation that it was clarifying and attempting to enforce. The interpretation led to a change in the effect of the statute, but it was the **_agency’s reasonable interpretation_****, that the court “deferred” to.**
* In cases like this the question is procedural, and *Chevron* Deference is a good descriptor, because **_at the heart of the procedural controversy is the agency’s interpretation of whether the statute requires certain procedures_**—namely, Formal Adjudication.
* So, make sure you’re using this term correctly. It’s all about statutory interpretation. It only applies here because resolving ambiguities of administrative procedure requires statutory interpretation by agencies.",,,,,,,,,,,,"Elements of a Formal Hearing,Ambiguities in Rulemaking","Formality in Adjudication,Ambiguities in Administrative Procedure",Politics of Administrative Law,Politics of Administrative Law
116,Board of Curators of the University of Missouri v. Horowitz,,1978,104,"101,105,96,97",100,,"* Affirms that admin procedure cases can be decided on case-by-case basis, and establishes even lower standards for due procedural requirements than in *Goss*, 3 years earlier","* Faculty placed Horowitz, a med student, on academic probation because of poor clinical performance and deficiency in personal hygiene. A year later, there was no change, and she was dropped as a student. USCA ruled this violated due process.",* Did academic dismissal without a hearing violate the Due Process Clause of the 14th?,,"* No. Horowitz was fully informed of faculty dissatisfaction, and the threat of postponing her graduation/enrollment. A hearing before the school’s decision-making body is not required for dismissals for academic deficiencies.
* It was found therefore, that there are cases that can require even less formal due procedures than required in *Goss*.
Dissent:
* There were like, 2 concurring opinions and 2 concurring in part and dissenting in part. Brennan and Blackmun don’t think the court should be defining additional constitutional standards for graduate schools. The takeaway is that these cases are not simple at all, and that the justices can’t even agree in what the majority opinion (with which they’re all concurring at least in part) even means, at all. Case-by-case might be best, because they’re not even trying to define binding, broad, intelligible principles of adjudication",* **The bottom line in informal adjudication is that ****_Horowitz_**** marks a substantial Supreme Court retreat from ****_Goldberg v. Kelly_****. It now appears ready to articulate constitutional standards on a case-by-case basis.**,103,,100,102,94,,102,94,,,,Formality/Informality in Rulemaking,Formality in Adjudication,Politics of Administrative Law,Politics of Administrative Law
115,Goss v. Lopez,,1975,97,"94,82,100,96",103,"102,101,104","* Established that cases on administrative procedure can be decided pretty much on a case-by-case basis, and depending on the nature of the case, only a few of the *Goldberg *criteria might be necessary to satisfy procedural requirements.","* 10 students were suspended for allegedly disrupting class and fighting (not academic reasons, disciplinary).
* They received no hearing prior to their suspension.",* Did the imposition of the suspensions without preliminary hearings violate the students’ Due Process rights guaranteed by the 14th amendment?,,"* Yes. The court will not redraw the right to education Ohio extends to its citizens ""on grounds of misconduct absent fundamentally fair procedures to determine whether the misconduct has occurred."" However...
* The administration had erred in not providing the** opportunity of students to be heard** present their side in an informal give-and-take with administrators.","* The first four *Goldberg* ingredients were held to be required in this case:
1. Timely and adequate notice
2. Confronting adverse witnesses
3. Oral presentation of arguments
4. Oral presentation of evidence
* Also, it was held that the minimal hearing was suitable in education because they can have educational value for students",,,,,,,,,,,,Formality/Informality in Rulemaking,Formality in Adjudication,Politics of Administrative Law,Politics of Administrative Law
114,Bi-Metallic Investment Co. v. State Board of Equalization of Colorado,,1915,59,"60,63,50,58,68,67,65,64",,,* **Classical ****Rulemaking - ****I. on the (In)Formality continuum**,"* BD of Equalization raised tax valuation of all taxable property by 40%, unilaterally and without prior hearings where opposition could argue their case.
* Plaintiff claims to have suffered loss of property through increased taxation without opportunity to be heard.","* Did the State Board of Equalization violate the 14th Amendment Due Process clause by depriving plaintiff of property without due process of law?
* *(As CJ Holmes frames it:)* Do all individuals have the constitutional right to be heard before a matter can be decided in which all are equally concerned?",,"* No.
* Issue cannot be that individuals were not able to protest a deficient property valuation, because they would’ve been able to do that before the change was equally applied to everyone.
* Where a rule of conduct applies to more than a few, and there is no practical ability of individuals to prove factual mistakes in the judgment, it is impracticable that everyone should have a direct voice in its adoption.
* We don’t do this for formal statutes, so why would we do it for rulemaking with the same effect?","* Holmes identifies two criteria to consider:
1. Does the agency action affect a small specifically identified number of people who the agency can feasibly hear under this burden?
2. Does the agency decision depend at least in part on facts about specific people and their cases such that an individual, if given some right to be heard, might show the agency it made a factual mistake in his case?
* Good distinction Harrington makes: **Notice that termination of welfare benefits, because it is fact-based and individual, is adjudicatory, but that regulations of a wide economic category (e.g., IRS audits of people who claim deductions on operating yachts) is a rulemaking issue. ****Notice the judicial nature ****_inherent_**** within the welfare recipient’s claim of individual deprivation without due process, as opposed to the legislative nature ****_inherent_**** within economic regulation. ****Could this be because we tend to approach poverty issues on an individual basis, but promote general economic welfare with broad legislative rules? That legislators put the responsibility on individuals to apply for welfare, but the legislative process is used broadly to benefit the rich with no prompting by rich individuals who would be affected?**",,,,,,,,,,,,Formality/Informality in Rulemaking,"Administrative Rulemaking,Formality/Informality in Rulemaking,Classical Rulemaking",Politics of Administrative Law,Politics of Administrative Law
113,Milner v. Department of the Navy,,2011,117,"115,98,109,114,108,116,111",113,,,"* Milner FOIA’d some Navy maps of where explosives were stored in a local area.
* Navy refused, saying hey were exempted by FOIA exemption 2, which says anything ""related solely to the internal personnel rules and practices of an agency"", and because they present a risk of circumventing agency regulation.","* Does Exemption 2 exempt these maps, as they are ""predominantly"" for internal use and present a risk of circumventing agency regulation?",,"* No. Kagan reads exemption 2 as meaning ""only records relating to employee relations and human resources issues"", so under HER definition, they wouldn’t be exempt. The main objection I’d have is whether her definition is really the one that counts here, but whatever. Feed more to the future flames of random bullshit textualist Webster Dictionary workarounds by Clarence Thomas, why don’t you
Dissent:
* By the way, this case is an perfect example of why you shouldn’t use Oyez. They completely seem to have no idea why Breyer dissented.
## Formality/Informality","* Basically accepted a rigorous textualist approach to interpreting exemptions to FOIA, which I’m not a huge fan of. I don’t like this opinion at all, and the fact that Kagan, Sotomayor, and Ginsburg signed on to it, endorsing Kagan’s textualist reconstruction of a word already defined by the Navy’s statutory interpretation, really confuses me. If you read this case and think to yourself, ""Well yeah, this opinion is great, because I don’t think those maps should be counted as “related solely to personnel rules and practices of an agency"", then I think you’re fundamentally missing the point of this opinion",,,,,,,,,,,,Access to Gov't Information,Access to Gov't Information,Politics of Administrative Law,Politics of Administrative Law
112,Department of Air Force v. Rose,,1976,94,"100,103,96,97",101,"102,104",* Exemption of Personnel,"* Rose was an Air Force officer in law school, writing about military academies, and he FOIA'd info about disciplinary actions against individual cadets. Air Force claimed that they were exempt under sec 2 and 6, because they were internal personnel files that held no interest to the general public.","* Did exemption 2 or 6 of FOIA exempt these individual files, as ""related solely to the personnel rules and practices of an agency""?",,"* No. Exemption 6 means that agencies had to reasonably separate personal information from non-protected info (by redacting)
* SCOTUS looked at legislative history and found that there was a legitimate public interest in knowing about cadet discipline, since public tax dollars funded the school.
* The court found section two is only designed to protect very trivial minutia from being requested
* Brennan: Congressional intent was for full disclosure",,,,,,,,,,,,105,Access to Gov't Information,Access to Gov't Information,Politics of Administrative Law,Politics of Administrative Law
