,case_name,topic,sub_topic,wiki_url,justia_link,holding
10,Hernandez v. Texas,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Hernandez_v._Texas,https://supreme.justia.com/cases/federal/us/347/475/,"Hernandez v. Texas, 347 U.S. 475 (1954) Mexican Americans and all other racial and national groups in the United States have equal protection under the Fourteenth Amendment to the United States Constitution. The protection of the 14th Amendment covers any racial, national and ethnic groups of the United States for which discrimination can be proved."
11,Brown v. Board of Education,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Brown_v._Board_of_Education,https://supreme.justia.com/cases/federal/us/347/483/,"Brown v. Board of Education, 347 U.S. 483 (1954) Segregated schools in the states are unconstitutional because they violate the Equal Protection Clause of the Fourteenth Amendment. The Court found that the separate but equal doctrine adopted in Plessy v. Ferguson (1896) ""has no place in the field of public education""."
12,Bolling v. Sharpe,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Bolling_v._Sharpe,https://supreme.justia.com/cases/federal/us/347/497/,"Bolling v. Sharpe, 347 U.S. 497 (1954) Segregated schools in the District of Columbia violate the Equal Protection Clause as incorporated against the federal government by the Due Process Clause of the Fifth Amendment."
13,Sarah Keys v. Carolina Coach Company,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Sarah_Keys_v._Carolina_Coach_Company,,"Sarah Keys v. Carolina Coach Company, 64 MCC 769 (1955) According to the Interstate Commerce Commission, the non-discrimination language of the Interstate Commerce Act of 1887 bans racial segregation on buses traveling across state lines. The Supreme Court later adopted and expanded this decision in Boynton v. Virginia (1960)."
14,Browder v. Gayle,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Browder_v._Gayle,,"Browder v. Gayle, 142 F. Supp. 707 (M.D. Ala. 1956) Bus segregation is unconstitutional under the Equal Protection Clause."
15,Gomillion v. Lightfoot,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Gomillion_v._Lightfoot,https://supreme.justia.com/cases/federal/us/364/339/,"Gomillion v. Lightfoot, 364 U.S. 339 (1960) Electoral district boundaries drawn only to disenfranchise blacks violate the Fifteenth Amendment."
16,Boynton v. Virginia,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Boynton_v._Virginia,https://supreme.justia.com/cases/federal/us/364/454/,"Boynton v. Virginia, 364 U.S. 454 (1960) Racial segregation in all forms of public transportation is illegal under the Interstate Commerce Act of 1887."
17,Garner v. Louisiana,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Garner_v._Louisiana,https://supreme.justia.com/cases/federal/us/368/157/,"Garner v. Louisiana, 368 U.S. 157 (1961) Peaceful sit-in demonstrators protesting segregationist policies cannot be arrested under a state's ""disturbing the peace"" laws."
18,Loving v. Virginia,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Loving_v._Virginia,https://supreme.justia.com/cases/federal/us/388/1/,"Loving v. Virginia, 388 U.S. 1 (1967) Laws that prohibit interracial marriage (anti-miscegenation laws) are unconstitutional."
19,Jones v. Alfred H. Mayer Co.,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Jones_v._Alfred_H._Mayer_Co.,https://supreme.justia.com/cases/federal/us/392/409/,"Jones v. Alfred H. Mayer Co., 392 U.S. 409 (1968) The federal government may prohibit discrimination in housing by private parties under the Civil Rights Act of 1968."
20,Swann v. Charlotte-Mecklenburg Board of Education,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Swann_v._Charlotte-Mecklenburg_Board_of_Education,https://supreme.justia.com/cases/federal/us/402/1/,"Swann v. Charlotte-Mecklenburg Board of Education, 402 U.S. 1 (1971) The busing of students to promote racial integration in public schools is constitutional."
21,Gates v. Collier,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Gates_v._Collier,,"Gates v. Collier, 501 F. 2d 1291 (5th Cir. 1974) This decision brought an end to the trusty system and flagrant inmate abuse at the Mississippi State Penitentiary in Parchman, Mississippi. It was the first body of law developed in the Fifth Circuit that abolished racial segregation in prisons and held that a variety of forms of corporal punishment against prisoners is considered cruel and unusual punishment in violation of the Eighth Amendment."
22,Regents of the University of California v. Bakke,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Regents_of_the_University_of_California_v._Bakke,https://supreme.justia.com/cases/federal/us/438/265/,"Regents of the University of California v. Bakke, 438 U.S. 265 (1978) Race-based set-asides in educational opportunities violate the Equal Protection Clause. This decision leaves the door open for the possibility of some use of race in admission decisions."
23,Batson v. Kentucky,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Batson_v._Kentucky,https://supreme.justia.com/cases/federal/us/476/79/,"Batson v. Kentucky, 476 U.S. 79 (1986) Prosecutors may not use peremptory challenges to dismiss jurors based on their race."
24,"Adarand Constructors, Inc. v. Peña",Individual rights,Discrimination based on race and ethnicity,"https://www.wikipedia.org/wiki/Adarand_Constructors,_Inc._v._Pe%C3%B1a",https://supreme.justia.com/cases/federal/us/515/200/,"Adarand Constructors, Inc. v. Peña, 515 U.S. 200 (1995) Race-based discrimination, including discrimination in favor of minorities (affirmative action), must pass strict scrutiny."
25,Grutter v. Bollinger,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Grutter_v._Bollinger,https://supreme.justia.com/cases/federal/us/539/306/,"Grutter v. Bollinger, 539 U.S. 306 (2003) A narrowly tailored use of race in student admission decisions may be permissible under the Equal Protection Clause because a diverse student body is beneficial to all students. This was hinted at in Regents v. Bakke (1978)."
26,Schuette v. Coalition to Defend Affirmative Action,Individual rights,Discrimination based on race and ethnicity,https://www.wikipedia.org/wiki/Schuette_v._Coalition_to_Defend_Affirmative_Action,https://supreme.justia.com/cases/federal/us/572/291/,"Schuette v. Coalition to Defend Affirmative Action, 572 U.S. 291 (2014) A Michigan state constitutional amendment that bans affirmative action does not violate the Equal Protection Clause."
27,Muller v. Oregon,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Muller_v._Oregon,https://supreme.justia.com/cases/federal/us/208/412/,"Muller v. Oregon, 208 U.S. 412 (1908) Oregon's restrictions on the working hours of women are constitutional under the Fourteenth Amendment because they are justified by the strong state interest in protecting women's health."
28,Glasser v. United States,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Glasser_v._United_States,https://supreme.justia.com/cases/federal/us/315/60/,"Glasser v. United States, 315 U.S. 60 (1942) The exclusion of women from the jury pool, other than members of the League of Women Voters who have attended a jury training class, violates the fair-cross section requirement of the Impartial Jury Clause of the Sixth Amendment. Noteworthy for being the first majority opinion of the Court to use the phrase ""cross-section of the community"" and the first jury discrimination case to invoke the Sixth Amendment rather than Equal Protection Clause of the Fourteenth Amendment."
29,Phillips v. Martin Marietta Corp.,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Phillips_v._Martin_Marietta_Corp.,https://supreme.justia.com/cases/federal/us/400/542/,"Phillips v. Martin Marietta Corp., 400 U.S. 542 (1971) An employer may not, in the absence of business necessity, refuse to hire women with preschool-age children while hiring men with such children."
30,Reed v. Reed,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Reed_v._Reed,https://supreme.justia.com/cases/federal/us/404/71/,"Reed v. Reed, 404 U.S. 71 (1971) Administrators of estates cannot be named in a way that discriminates on the basis of sex."
31,Frontiero v. Richardson,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Frontiero_v._Richardson,https://supreme.justia.com/cases/federal/us/411/677/,"Frontiero v. Richardson, 411 U.S. 677 (1973) Sex-based discriminations are inherently suspect. A statute that gives benefits to the spouses of male members of the uniformed services, but not to the spouses of female members, (on the assumption that only the former are dependent) is unconstitutional."
32,Taylor v. Louisiana,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Taylor_v._Louisiana,https://supreme.justia.com/cases/federal/us/419/522/,"Taylor v. Louisiana, 419 U.S. 522 (1975) Systematic exclusion of women from jury service on the basis of having to register for jury duty violates a criminal defendant's 6th and 14th Amendment Rights."
33,Craig v. Boren,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Craig_v._Boren,https://supreme.justia.com/cases/federal/us/429/190/,"Craig v. Boren, 429 U.S. 190 (1976) Setting different minimum ages for females (18) and males (21) to be allowed to buy beer is unconstitutional sex-based discrimination contrary to the Equal Protection Clause of the Fourteenth Amendment."
34,Mississippi University for Women v. Hogan,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/Mississippi_University_for_Women_v._Hogan,https://supreme.justia.com/cases/federal/us/458/718/,"Mississippi University for Women v. Hogan, 458 U.S. 718 (1982) the single-sex admissions policy of the Mississippi University for Women violated the Equal Protection Clause of the Fourteenth Amendment.[1]"
35,J.E.B. v. Alabama ex rel. T.B.,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/J.E.B._v._Alabama_ex_rel._T.B.,https://supreme.justia.com/cases/federal/us/511/127/,"J.E.B. v. Alabama ex rel. T.B., 511 U.S. 127 (1994) Prosecutors may not use peremptory challenges to dismiss jurors based on their sex."
36,United States v. Virginia,Individual rights,Discrimination based on sex,https://www.wikipedia.org/wiki/United_States_v._Virginia,https://supreme.justia.com/cases/federal/us/518/515/,"United States v. Virginia, 518 U.S. 515 (1996) Sex-based ""separate but equal"" military training facilities violate the Equal Protection Clause."
37,Bowers v. Hardwick,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/Bowers_v._Hardwick,https://supreme.justia.com/cases/federal/us/478/186/,"Bowers v. Hardwick, 478 U.S. 186 (1986) A Georgia law that criminalizes certain acts of private sexual conduct between homosexual persons does not violate the Fourteenth Amendment (overruled by Lawrence v. Texas (2003))."
38,Romer v. Evans,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/Romer_v._Evans,https://supreme.justia.com/cases/federal/us/517/620/,"Romer v. Evans, 517 U.S. 620 (1996) A Colorado state constitutional amendment that prevents homosexuals and bisexuals from being able to obtain protections under the law is a violation of the Equal Protection Clause of the Fourteenth Amendment."
39,Lawrence v. Texas,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/Lawrence_v._Texas,https://supreme.justia.com/cases/federal/us/539/558/,"Lawrence v. Texas, 539 U.S. 558 (2003) A Texas law that criminalizes consensual same-sex sexual conduct furthers no legitimate state interest and violates homosexuals' right to privacy under the Due Process Clause of the Fourteenth Amendment. This decision invalidates all of the remaining sodomy laws in the United States."
40,Goodridge v. Department of Public Health,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/Goodridge_v._Department_of_Public_Health,,"Goodridge v. Department of Public Health, 440 Mass. 309 (2003) The denial of marriage licenses to same-sex couples violates provisions of the state constitution guaranteeing individual liberty and equality and is not rationally related to a legitimate state interest. This was the first state court decision in which same-sex couples won the right to marry."
41,United States v. Windsor,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/United_States_v._Windsor,https://supreme.justia.com/cases/federal/us/570/744/,"United States v. Windsor, 570 U.S. 744 (2013) Section 3 of the Defense of Marriage Act, which defines—for federal law purposes—the terms ""marriage"" and ""spouse"" to apply only to marriages between one man and one woman, is a deprivation of the equal liberty of the person protected by the Due Process Clause of the Fifth Amendment. The federal government must recognize same-sex marriages that have been approved by the states."
42,SmithKline Beecham Corporation v. Abbott Laboratories,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/Batson_v._Kentucky#SmithKline_v._Abbott,,"SmithKline Beecham Corporation v. Abbott Laboratories, 740 F.3d 471 (9th Cir. 2014) Using peremptory challenges to strike potential jurors because of their sexual orientation violates the equal protection clause of the U.S. Constitution as applied by the U.S. Supreme Court 1986 ruling in Batson v. Kentucky. First time holding by a United States Court of Appeals that classifications based upon sexual orientation must be subjected to heightened scrutiny."
43,Obergefell v. Hodges,Individual rights,Discrimination based on sexual orientation,https://www.wikipedia.org/wiki/Obergefell_v._Hodges,https://supreme.justia.com/cases/federal/us/576/___/,"Obergefell v. Hodges, 576 U.S. ___ (2015) The Fourteenth Amendment requires a state to license a marriage between two people of the same sex with all the accompanying rights and responsibilities and to recognize a marriage between two people of the same sex when their marriage was lawfully licensed and performed out-of-state."
44,Griswold v. Connecticut,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Griswold_v._Connecticut,https://supreme.justia.com/cases/federal/us/381/479/,"Griswold v. Connecticut, 381 U.S. 479 (1965) A Connecticut law that criminalizes the use of contraception by married couples is unconstitutional because all Americans have a constitutionally protected right to privacy."
45,Eisenstadt v. Baird,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Eisenstadt_v._Baird,https://supreme.justia.com/cases/federal/us/405/438/,"Eisenstadt v. Baird, 405 U.S. 438 (1972) A Massachusetts law that criminalizes the use of contraception by unmarried couples violates the right to privacy established in Griswold as well as the Equal Protection Clause of the Fourteenth Amendment."
46,Roe v. Wade,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Roe_v._Wade,https://supreme.justia.com/cases/federal/us/410/113/,"Roe v. Wade, 410 U.S. 113 (1973) Laws that restrict a woman's ability to have an abortion prior to viability are unconstitutional. Most restrictions during the first trimester are prohibited, and only health-related restrictions are permitted during the second trimester."
47,Carey v. Population Services International,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Carey_v._Population_Services_International,https://supreme.justia.com/cases/federal/us/431/678/,"Carey v. Population Services International, 431 U.S. 678 (1977) Laws that restrict the sale, distribution, and advertisement of contraceptives to both adults and minors are unconstitutional."
48,Planned Parenthood v. Casey,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Planned_Parenthood_v._Casey,https://supreme.justia.com/cases/federal/us/505/833/,"Planned Parenthood v. Casey, 505 U.S. 833 (1992) A woman is still able to have an abortion before viability, but several restrictions are now permitted during the first trimester. The strict trimester framework of Roe is discarded and replaced with the more vague ""undue burden"" test."
49,Stenberg v. Carhart,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Stenberg_v._Carhart,https://supreme.justia.com/cases/federal/us/530/914/,"Stenberg v. Carhart, 530 U.S. 914 (2000) Laws that ban partial-birth abortion are unconstitutional if they do not make an exception for the woman's health or if they cannot be reasonably construed to apply only to the partial-birth abortion procedure and not to other abortion methods."
50,Gonzales v. Carhart,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Gonzales_v._Carhart,https://supreme.justia.com/cases/federal/us/550/124/,"Gonzales v. Carhart, 550 U.S. 124 (2007) The Partial-Birth Abortion Ban Act of 2003 is constitutional because it is less ambiguous than the law that was struck down in Stenberg. It is not vague or overbroad, and it does not impose an undue burden on a woman's right to choose to have an abortion."
51,"Burwell v. Hobby Lobby Stores, Inc.",Individual rights,Birth control and abortion,"https://www.wikipedia.org/wiki/Burwell_v._Hobby_Lobby_Stores,_Inc.",https://supreme.justia.com/cases/federal/us/573/___/,"Burwell v. Hobby Lobby Stores, Inc., 573 U.S. ___ (2014) Closely held, for-profit corporations have free exercise rights under the Religious Freedom Restoration Act of 1993. As applied to such corporations, the requirement of the Patient Protection and Affordable Care Act that employers provide their female employees with no-cost access to contraception violates the Religious Freedom Restoration Act."
52,Whole Woman's Health v. Hellerstedt,Individual rights,Birth control and abortion,https://www.wikipedia.org/wiki/Whole_Woman%27s_Health_v._Hellerstedt,https://supreme.justia.com/cases/federal/us/579/___/,"Whole Woman's Health v. Hellerstedt, 579 U.S. ___ (2016) Both the admitting-privileges and the surgical-center requirements place a substantial obstacle in the path of women seeking a pre-viability abortion, constitute an undue burden on abortion access, and thus violate the Constitution."
53,"Cruzan v. Director, Missouri Department of Health",Individual rights,End of life,"https://www.wikipedia.org/wiki/Cruzan_v._Director,_Missouri_Department_of_Health",https://supreme.justia.com/cases/federal/us/497/261/,"Cruzan v. Director, Missouri Department of Health, 497 U.S. 261 (1990) When a family has requested the termination of life-sustaining treatments for their vegetative relative, the state may constitutionally oppose this request if there is a lack of evidence of a clear earlier wish by said relative."
54,Washington v. Glucksberg,Individual rights,End of life,https://www.wikipedia.org/wiki/Washington_v._Glucksberg,https://supreme.justia.com/cases/federal/us/521/702/,"Washington v. Glucksberg, 521 U.S. 702 (1997) Washington State's prohibition on assisted suicide is constitutional."
55,Vacco v. Quill,Individual rights,End of life,https://www.wikipedia.org/wiki/Vacco_v._Quill,https://supreme.justia.com/cases/federal/us/521/793/,"Vacco v. Quill, 521 U.S. 793 (1997) New York State's prohibition on assisted suicide does not violate the Equal Protection Clause."
56,Gonzales v. Oregon,Individual rights,End of life,https://www.wikipedia.org/wiki/Gonzales_v._Oregon,https://supreme.justia.com/cases/federal/us/546/243/,"Gonzales v. Oregon, 546 U.S. 243 (2006) The Controlled Substances Act does not prevent physicians from being able to prescribe the drugs needed to perform assisted suicides under state law."
57,"Heart of Atlanta Motel, Inc. v. United States",Individual rights,Power of Congress to enforce civil rights,"https://www.wikipedia.org/wiki/Heart_of_Atlanta_Motel,_Inc._v._United_States",https://supreme.justia.com/cases/federal/us/379/241/,"Heart of Atlanta Motel, Inc. v. United States, 379 U.S. 241 (1964) The Civil Rights Act of 1964 applies to places of public accommodation patronized by interstate travelers by reason of the Commerce Clause."
58,Katzenbach v. McClung,Individual rights,Power of Congress to enforce civil rights,https://www.wikipedia.org/wiki/Katzenbach_v._McClung,https://supreme.justia.com/cases/federal/us/379/294/,"Katzenbach v. McClung, 379 U.S. 294 (1964) The power of Congress to regulate interstate commerce extends to a restaurant that is not patronized by interstate travelers but which serves food that has moved in interstate commerce. This ruling makes the Civil Rights Act of 1964 apply to virtually all businesses."
59,South Carolina v. Katzenbach,Individual rights,Power of Congress to enforce civil rights,https://www.wikipedia.org/wiki/South_Carolina_v._Katzenbach,https://supreme.justia.com/cases/federal/us/383/301/,"South Carolina v. Katzenbach, 383 U.S. 301 (1966) The Voting Rights Act of 1965 is a valid exercise of Congress's power under Section 2 of the Fifteenth Amendment."
60,Katzenbach v. Morgan,Individual rights,Power of Congress to enforce civil rights,https://www.wikipedia.org/wiki/Katzenbach_v._Morgan,https://supreme.justia.com/cases/federal/us/384/641/,"Katzenbach v. Morgan, 384 U.S. 641 (1966) Congress may enact laws stemming from Section 5 of the Fourteenth Amendment that increase the rights of citizens beyond what the judiciary has recognized."
61,City of Boerne v. Flores,Individual rights,Power of Congress to enforce civil rights,https://www.wikipedia.org/wiki/City_of_Boerne_v._Flores,https://supreme.justia.com/cases/federal/us/521/507/,"City of Boerne v. Flores, 521 U.S. 507 (1997) Section 5 of the Fourteenth Amendment does not permit Congress to substantially increase the scope of the rights determined by the judiciary. Congress may only enact remedial or preventative measures that are consistent with the Fourteenth Amendment interpretations of the Supreme Court."
62,Shelby County v. Holder,Individual rights,Power of Congress to enforce civil rights,https://www.wikipedia.org/wiki/Shelby_County_v._Holder,https://supreme.justia.com/cases/federal/us/570/529/,"Shelby County v. Holder, 570 U.S. 529 (2013) Section 4(b) of the Voting Rights Act of 1965, which contains the coverage formula that determines which state and local jurisdictions are subjected to federal preclearance from the Department of Justice before implementing any changes to their voting laws or practices based on their histories of racial discrimination in voting, is unconstitutional because it no longer reflects current societal conditions."
63,Corfield v. Coryell,Individual rights,Other areas,https://www.wikipedia.org/wiki/Corfield_v._Coryell,,"Corfield v. Coryell, 6 Fed. Cas. 546 (C.C.E.D. Pa. 1823) Some of the rights protected by the Privileges and Immunities Clause include the freedom of movement through the states, the right of access to the courts, the right to purchase and hold property, an exemption from higher taxes than those paid by state residents, and the right to vote. Strictly speaking, not an opinion issued by the Supreme Court, but a case decided by Supreme Court Justice Bushrod Washington while riding circuit, in the Circuit Court for the Eastern District of Pennsylvania. Notable for Washington asserting the existence of cognizable rights within the ambit of the Privileges and Immunities clause (Art. IV, Sec. 2, cl.1) that are nowhere within the Constitution’s text. Frequently cited today by those urging the Supreme Court to create new, nontextual extra-Constitutional rights through the Privileges or Immunities clause of the Fourteenth Amendment, which has remained dormant since the Slaughter-House Cases  (but see McDonald v. City of Chicago, Thomas, J., concurring, incorporating the Second Amendment as applicable against the states through the Privileges or Immunities clause rather than that amendment’s Due Process Clause)."
64,Ex parte Milligan,Individual rights,Other areas,https://www.wikipedia.org/wiki/Ex_parte_Milligan,https://supreme.justia.com/cases/federal/us/71/2/,"Ex parte Milligan, 71 U.S. 2 (1866) Trying citizens in military courts is unconstitutional when civilian courts are still operating. Trial by military tribunal is constitutional only when there is no power left but the military, and the military may validly try criminals only as long as is absolutely necessary."
65,Crandall v. Nevada,Individual rights,Other areas,https://www.wikipedia.org/wiki/Crandall_v._Nevada,https://supreme.justia.com/cases/federal/us/73/35/,"Crandall v. Nevada, 73 U.S. 35 (1868) Freedom of movement between states is a fundamental right; a state cannot inhibit people from leaving it by imposing a tax on doing so."
66,United States v. Wong Kim Ark,Individual rights,Other areas,https://www.wikipedia.org/wiki/United_States_v._Wong_Kim_Ark,https://supreme.justia.com/cases/federal/us/169/649/,"United States v. Wong Kim Ark, 169 U.S. 649 (1898) With only a few narrow exceptions, every person born in the United States acquires United States citizenship at birth via the Citizenship Clause of the Fourteenth Amendment."
67,United States v. Wheeler,Individual rights,Other areas,https://www.wikipedia.org/wiki/United_States_v._Wheeler_(1920),https://supreme.justia.com/cases/federal/us/254/281/,"United States v. Wheeler, 254 U.S. 281 (1920) The Constitution grants to the states the power to prosecute individuals for wrongful interference with the right to travel."
68,Edwards v. California,Individual rights,Other areas,https://www.wikipedia.org/wiki/Edwards_v._California,https://supreme.justia.com/cases/federal/us/314/160/,"Edwards v. California, 314 U.S. 160 (1941) A state cannot prohibit indigent people from moving into it."
69,Berman v. Parker,Individual rights,Other areas,https://www.wikipedia.org/wiki/Berman_v._Parker,https://supreme.justia.com/cases/federal/us/348/26/,"Berman v. Parker, 348 U.S. 26 (1954) Under the Fifth Amendment's Takings Clause private property can be taken for a public purpose with just compensation."
70,Reid v. Covert,Individual rights,Other areas,https://www.wikipedia.org/wiki/Reid_v._Covert,https://supreme.justia.com/cases/federal/us/354/1/,"Reid v. Covert, 354 U.S. 1 (1957) United States citizens abroad, even when associated with the military, cannot be deprived of the protections of the Constitution and cannot be made subject to military jurisdiction."
71,Kent v. Dulles,Individual rights,Other areas,https://www.wikipedia.org/wiki/Kent_v._Dulles,https://supreme.justia.com/cases/federal/us/357/116/,"Kent v. Dulles, 357 U.S. 116 (1958) The right to travel is a part of the ""liberty"" of which the citizen cannot be deprived without due process of law under the Fifth Amendment."
72,Aptheker v. Secretary of State,Individual rights,Other areas,https://www.wikipedia.org/wiki/Aptheker_v._Secretary_of_State,https://supreme.justia.com/cases/federal/us/378/500/,"Aptheker v. Secretary of State, 378 U.S. 500 (1964) First case in which the US Supreme Court considered the constitutionality of personal restrictions on the right to travel abroad and passport restrictions as they relate to Fifth Amendment due process rights and First Amendment free speech, freedom of assembly and freedom of association rights."
73,United States v. Guest,Individual rights,Other areas,https://www.wikipedia.org/wiki/United_States_v._Guest,https://supreme.justia.com/cases/federal/us/383/745/,"United States v. Guest, 383 U.S. 745 (1966) There is a constitutional right to travel from state to state, and the protections of the Fourteenth Amendment extend to citizens who suffer rights deprivations at the hands of private conspiracies where there is minimal state participation in the conspiracy."
74,Afroyim v. Rusk,Individual rights,Other areas,https://www.wikipedia.org/wiki/Afroyim_v._Rusk,https://supreme.justia.com/cases/federal/us/387/253/,"Afroyim v. Rusk, 387 U.S. 253 (1967) The right of citizenship is protected by the Citizenship Clause of the Fourteenth Amendment. Congress has no power under the Constitution to revoke a person's United States citizenship unless he or she voluntarily relinquishes it."
75,Shapiro v. Thompson,Individual rights,Other areas,https://www.wikipedia.org/wiki/Shapiro_v._Thompson,https://supreme.justia.com/cases/federal/us/394/618/,"Shapiro v. Thompson, 394 U.S. 618 (1969) The fundamental right to travel and the Equal protection clause forbid a state from reserving welfare benefits only for persons that have resided in the state for at least a year. The decision helped to establish a fundamental ""right to travel"" in U.S. law."
